quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.17379999999999998,0.89,2021-01-01,2021,1,Q1
2020-12-31,0.192,1.01,2020-10-01,2020,10,Q4
2020-09-30,0.2348,1.24,2020-07-01,2020,7,Q3
2020-06-30,0.20320000000000002,0.98,2020-04-01,2020,4,Q2
2020-03-31,0.19399999999999998,0.98,2020-01-01,2020,1,Q1
2019-12-31,0.18300000000000002,0.94,2019-10-01,2019,10,Q4
2019-09-30,0.2061,1.05,2019-07-01,2019,7,Q3
2019-06-30,0.1895,0.89,2019-04-01,2019,4,Q2
2019-03-31,0.1393,0.66,2019-01-01,2019,1,Q1
2018-12-31,0.1474,0.7,2018-10-01,2018,10,Q4
